rank,name,team,position,salary,projected_underdog,ceiling,floor,value,ppg,rpg,apg,threes,stl,blk,to,gp
110,Collin Gillespie,PHX,F,4080,28.67,35.8,21.5,8.77,13.6,4.1,4.7,3.1,1.4,0.2,1.7,52
111,Ausar Thompson,DET,F,3500,28.65,35.8,21.5,10.23,10.4,6.0,2.7,0.1,1.9,0.9,1.4,47
112,Mark Williams,PHX,F,3660,28.59,35.7,21.4,9.75,12.2,8.2,1.1,0.0,1.0,1.0,1.1,48
113,Peyton Watson,DEN,F,4470,28.58,35.7,21.4,7.99,14.9,4.9,2.0,1.5,1.0,1.2,1.8,49
114,Jerami Grant,POR,F,5730,28.55,35.7,21.4,6.23,19.1,3.5,2.5,2.3,0.6,0.6,2.1,37
115,Deandre Ayton,LAL,F,4020,28.23,35.3,21.2,8.78,13.4,8.4,0.9,0.0,0.6,1.0,1.4,45
116,Tre Jones,CHI,F,3720,27.8,34.8,20.9,9.35,12.4,3.0,5.8,0.6,1.3,0.2,1.4,38
117,Kel'el Ware,MIA,F,3500,27.74,34.7,20.8,9.91,11.3,9.2,0.6,1.1,0.8,1.0,0.9,50
118,Myles Turner,MIL,F,3870,27.72,34.6,20.8,8.94,12.9,5.6,1.6,2.2,0.7,1.6,1.2,48
119,Jaden McDaniels,MIN,SF,4200,27.64,34.5,20.7,8.21,14.8,4.2,2.8,1.5,0.9,0.9,1.8,52
120,Bennedict Mathurin,LAC,F,5340,27.53,34.4,20.6,6.44,17.8,5.4,2.3,2.1,0.6,0.1,2.3,28
121,Neemias Queta,BOS,F,3500,27.51,34.4,20.6,9.83,9.8,8.3,1.5,0.0,0.9,1.3,1.1,50
122,Ajay Mitchell,OKC,F,4230,27.35,34.2,20.5,8.09,14.1,3.5,3.7,1.1,1.4,0.3,1.6,43
123,Wendell Carter Jr.,ORL,F,3570,27.11,33.9,20.3,9.5,11.9,7.3,2.1,1.2,0.8,0.7,1.2,49
124,Zach LaVine,SAC,F,5760,27.11,33.9,20.3,5.89,19.2,2.8,2.3,2.5,0.7,0.3,1.9,39
125,Naji Marshall,DAL,F,4410,27.1,33.9,20.3,7.69,14.7,5.0,3.0,0.9,1.0,0.1,1.4,51
126,Cedric Coward,MEM,F,4080,26.71,33.4,20.0,8.19,13.6,6.3,2.9,1.5,0.6,0.4,1.8,47
127,Jaylon Tyson,CLE,F,4200,26.5,33.1,19.9,7.88,14.0,5.5,2.4,2.1,0.9,0.4,1.6,48
128,Kelly Oubre Jr.,PHI,F,4230,26.19,32.7,19.6,7.73,14.1,4.7,1.5,1.8,1.2,0.6,1.2,30
129,Tari Eason,HOU,F,3720,26.16,32.7,19.6,8.79,12.4,6.3,1.4,2.2,1.3,0.6,1.6,29
130,Ayo Dosunmu,MIN,F,4500,26.0,32.5,19.5,7.22,15.0,3.0,3.6,2.0,0.8,0.3,1.3,46
131,Toumani Camara,POR,F,3840,25.66,32.1,19.2,8.36,12.8,5.3,2.6,2.5,1.0,0.5,1.9,53
132,Moussa Diabaté,CHA,F,3500,25.44,31.8,19.1,9.09,8.4,8.7,1.6,0.0,0.7,1.0,0.9,49
133,Devin Vassell,SAS,F,4320,25.38,31.7,19.0,7.34,14.4,3.9,2.4,2.4,0.8,0.4,0.9,39
134,Isaiah Collier,UTA,F,3500,25.32,31.6,19.0,9.03,10.2,2.6,7.2,0.4,0.9,0.3,2.4,45
135,Bobby Portis,MIL,F,4020,25.09,31.4,18.8,7.81,13.4,6.7,1.7,1.9,0.5,0.2,1.0,48
136,Brandin Podziemski,GSW,F,3570,25.07,31.3,18.8,8.77,11.9,4.6,3.5,1.7,1.1,0.2,1.5,53
137,Tobias Harris,DET,F,4050,24.94,31.2,18.7,7.7,13.5,4.7,2.4,1.4,0.9,0.2,1.1,35
138,Davion Mitchell,MIA,F,3500,24.85,31.1,18.6,8.89,9.0,2.5,7.1,1.2,1.2,0.1,1.7,44
139,Dennis Schröder,CLE,F,3780,24.85,31.1,18.6,8.23,12.6,3.0,5.3,1.4,0.8,0.1,2.0,42
140,Quentin Grimes,PHI,F,3810,24.66,30.8,18.5,8.08,12.7,3.8,3.6,1.8,0.9,0.4,1.9,48
141,John Collins,LAC,F,4140,24.65,30.8,18.5,7.44,13.8,5.0,0.9,1.4,0.8,0.8,1.3,49
142,Aaron Nesmith,IND,F,4080,24.62,30.8,18.5,7.55,13.6,4.6,2.2,2.4,0.7,0.5,1.4,31
143,Draymond Green,GSW,F,3500,24.62,30.8,18.5,8.8,8.3,5.6,5.2,1.5,0.8,0.7,2.7,44
144,Cam Spencer,MEM,F,3600,24.54,30.7,18.4,8.53,12.0,2.7,5.6,2.2,0.7,0.1,1.5,49
145,Reed Sheppard,HOU,F,3750,24.4,30.5,18.3,8.13,12.5,2.5,3.0,2.3,1.4,0.5,1.3,51
146,Jakob Poeltl,TOR,F,3500,24.39,30.5,18.3,8.71,9.7,7.7,2.1,0.0,0.8,0.5,1.6,21
147,Keldon Johnson,SAS,F,4050,24.38,30.5,18.3,7.53,13.5,5.9,1.4,1.2,0.7,0.2,1.0,52
148,Kyle Kuzma,MIL,F,3900,24.3,30.4,18.2,7.79,13.0,5.0,2.6,1.0,0.6,0.4,1.6,47
149,Bilal Coulibaly,WAS,F,3500,24.27,30.3,18.2,8.66,9.7,4.6,2.5,0.9,1.4,0.9,1.6,32
150,Jeremiah Fears,NOP,F,3930,24.22,30.3,18.2,7.71,13.1,3.6,3.0,1.0,1.2,0.3,2.2,54
151,Jock Landale,ATL,F,3500,24.03,30.0,18.0,8.57,11.5,6.4,1.7,1.2,0.5,0.6,1.0,47
152,Sandro Mamukelashvili,TOR,F,3500,23.8,29.8,17.9,8.51,11.5,5.0,2.0,1.4,0.8,0.6,0.9,52
153,Noah Clowney,BKN,F,3840,23.54,29.4,17.7,7.66,12.8,4.2,1.8,2.0,0.8,0.8,1.8,46
154,Royce O'Neale,PHX,F,3500,23.53,29.4,17.6,8.4,10.3,4.9,2.9,2.8,1.2,0.3,1.5,53
155,Julian Champagnie,SAS,F,3500,23.3,29.1,17.5,8.31,11.4,6.0,1.4,2.5,0.8,0.4,1.0,52
156,Brandon Williams,DAL,F,3810,23.28,29.1,17.5,7.64,12.7,2.9,3.6,0.5,1.0,0.2,1.9,44
157,Luke Kornet,SAS,F,3500,23.26,29.1,17.4,8.31,7.5,6.8,2.0,0.0,0.5,1.2,0.5,42
158,Jalen Smith,CHI,F,3500,23.13,28.9,17.3,8.26,10.2,6.9,1.3,1.5,0.4,0.8,0.9,43
159,Isaiah Stewart,DET,C,4800,23.06,28.8,17.3,6.0,10.1,5.3,1.2,0.7,0.3,1.7,1.2,47
160,Collin Sexton,CHI,F,4290,22.93,28.7,17.2,6.69,14.3,1.9,3.7,1.3,0.8,0.2,2.2,43
161,De'Anthony Melton,GSW,F,3500,22.76,28.5,17.1,8.14,11.5,2.8,2.2,1.3,1.7,0.4,1.7,26
162,Jonathan Kuminga,ATL,F,3630,22.73,28.4,17.0,7.82,12.1,5.9,2.5,0.9,0.4,0.3,2.3,20
163,Miles McBride,NYK,F,3870,22.72,28.4,17.0,7.34,12.9,2.6,2.8,2.9,0.9,0.2,0.8,35
164,Daniel Gafford,DAL,F,3500,22.67,28.3,17.0,8.09,8.3,6.6,0.9,0.0,0.8,1.3,1.2,36
165,Day'Ron Sharpe,BKN,F,3500,22.57,28.2,16.9,8.06,8.3,6.6,2.3,0.1,1.1,0.4,1.6,49
