rank,name,team,position,salary,projected_underdog,ceiling,floor,value,ppg,rpg,apg,threes,stl,blk,to,gp
386,Malaki Branham,CHA,F,3500,8.97,11.2,6.7,3.2,4.6,1.6,0.8,0.5,0.4,0.1,0.5,28
387,Jett Howard,ORL,F,3500,8.96,11.2,6.7,3.2,4.8,1.3,0.8,0.9,0.2,0.1,0.2,32
388,Rob Dillingham,CHI,F,3500,8.84,11.1,6.6,3.17,3.6,1.2,1.7,0.4,0.6,0.1,1.1,36
389,Jordan Hawkins,NOP,F,3500,8.81,11.0,6.6,3.14,4.3,1.8,0.7,0.8,0.2,0.2,0.6,35
390,Tony Bradley,IND,F,3500,8.71,10.9,6.5,3.11,4.0,2.8,0.5,0.0,0.2,0.2,0.4,38
391,DaRon Holmes II,DEN,F,3500,8.67,10.8,6.5,3.09,3.9,1.6,1.0,0.9,0.0,0.3,0.3,15
392,Ousmane Dieng,MIL,F,3500,8.47,10.6,6.4,3.03,3.7,1.6,1.0,0.7,0.1,0.3,0.3,27
393,Jonathan Isaac,ORL,F,3500,8.4,10.5,6.3,3.0,2.8,2.5,0.4,0.2,0.4,0.6,0.4,43
394,Dorian Finney-Smith,HOU,F,3500,8.38,10.5,6.3,3.0,2.9,2.4,0.7,0.6,0.4,0.2,0.5,19
395,Ron Harper Jr.,BOS,F,3500,8.25,10.3,6.2,2.94,3.0,2.0,0.8,0.7,0.1,0.4,0.1,9
396,Kelly Olynyk,SAS,F,3500,8.18,10.2,6.1,2.91,3.3,1.9,1.2,0.3,0.4,0.0,0.6,29
397,Chris Boucher,BOS,F,3500,8.1,10.1,6.1,2.89,2.3,2.0,0.3,0.2,0.6,0.8,0.1,9
398,Dalton Knecht,LAL,F,3500,8.03,10.0,6.0,2.86,4.6,1.4,0.3,0.7,0.2,0.2,0.4,41
399,David Jones Garcia,SAS,F,3500,7.99,10.0,6.0,2.86,2.9,1.2,1.6,0.3,0.5,0.1,0.5,11
400,Guerschon Yabusele,CHI,F,3500,7.91,9.9,5.9,2.83,3.2,2.3,0.5,0.6,0.2,0.2,0.4,43
401,Terrence Shannon Jr.,MIN,F,3500,7.91,9.9,5.9,2.83,4.5,1.3,0.6,0.7,0.3,0.0,0.7,22
402,Yanic Konan Niederhäuser,LAC,F,3500,7.91,9.9,5.9,2.83,3.8,2.3,0.3,0.0,0.1,0.5,0.6,32
403,Gary Harris,MIL,F,3500,7.85,9.8,5.9,2.8,2.6,1.5,1.1,0.6,0.6,0.1,0.4,36
404,A.J. Lawson,TOR,F,3500,7.71,9.6,5.8,2.74,3.8,1.8,0.2,0.6,0.3,0.2,0.3,13
405,Rayan Rupert,POR,F,3500,7.71,9.6,5.8,2.74,2.9,1.8,0.8,0.5,0.6,0.0,0.5,45
406,Luke Travers,CLE,F,3500,7.65,9.6,5.7,2.74,2.3,2.0,0.8,0.1,0.6,0.3,0.3,12
407,Monte Morris,IND,F,3500,7.64,9.5,5.7,2.71,3.0,1.2,1.5,0.3,0.2,0.2,0.3,6
408,Jahmai Mashack,MEM,F,3500,7.57,9.5,5.7,2.71,2.1,1.1,0.9,0.5,1.3,0.0,0.6,10
409,Mason Plumlee,CHA,F,3500,7.53,9.4,5.6,2.69,1.9,2.9,1.1,0.0,0.4,0.0,0.6,14
410,Isaiah Livers,PHX,F,3500,7.13,8.9,5.3,2.54,2.2,1.9,0.7,0.4,0.4,0.3,0.4,29
411,Ariel Hukporti,NYK,F,3500,7.08,8.8,5.3,2.51,1.9,2.9,0.5,0.0,0.1,0.5,0.5,37
412,Cam Christie,LAC,F,3500,7.02,8.8,5.3,2.51,3.5,1.6,0.6,0.3,0.2,0.1,0.4,37
413,Kobe Brown,IND,F,3500,7.02,8.8,5.3,2.51,2.9,1.6,0.8,0.4,0.3,0.1,0.4,34
414,Maxi Kleber,LAL,F,3500,6.95,8.7,5.2,2.49,2.1,2.0,0.8,0.2,0.4,0.2,0.3,26
415,Miles Kelly,DAL,F,3500,6.92,8.7,5.2,2.49,2.8,1.6,0.7,0.7,0.3,0.0,0.3,12
416,Chaz Lanier,DET,F,3500,6.9,8.6,5.2,2.46,3.3,1.0,0.7,0.8,0.3,0.0,0.1,19
417,Joan Beringer,MIN,F,3500,6.8,8.5,5.1,2.43,3.1,2.0,0.3,0.0,0.1,0.4,0.3,26
418,Drew Timme,LAL,F,3500,6.76,8.4,5.1,2.4,3.1,1.3,0.9,0.3,0.3,0.0,0.3,16
419,Carter Bryant,SAS,F,3500,6.73,8.4,5.0,2.4,3.0,1.9,0.2,0.5,0.2,0.2,0.3,41
420,Alijah Martin,TOR,F,3500,6.72,8.4,5.0,2.4,2.7,1.1,0.7,0.2,0.5,0.3,0.3,12
421,Kam Jones,IND,F,3500,6.5,8.1,4.9,2.31,2.6,1.0,1.3,0.3,0.3,0.0,0.3,16
422,Keshad Johnson,MIA,F,3500,6.43,8.0,4.8,2.29,3.1,1.9,0.1,0.3,0.2,0.2,0.4,21
423,Kevin McCullar Jr.,NYK,F,3500,6.4,8.0,4.8,2.29,2.0,1.5,1.3,0.4,0.3,0.0,0.7,15
424,Duop Reath,POR,F,3500,6.39,8.0,4.8,2.29,2.9,1.2,0.3,0.7,0.2,0.3,0.2,32
425,Trey Alexander,NOP,F,3500,6.36,8.0,4.8,2.29,2.8,0.8,1.0,0.4,0.2,0.2,0.2,5
426,Pat Connaughton,CHA,F,3500,6.33,7.9,4.7,2.26,2.9,1.4,0.6,0.5,0.2,0.0,0.1,22
427,Jamison Battle,TOR,F,3500,6.28,7.9,4.7,2.26,3.2,1.4,0.4,0.6,0.1,0.1,0.4,38
428,Julian Phillips,MIN,F,3500,6.24,7.8,4.7,2.23,2.8,1.2,0.2,0.4,0.5,0.2,0.2,36
429,Emanuel Miller,CLE,F,3500,6.12,7.7,4.6,2.2,3.0,0.6,0.8,0.4,0.4,0.0,0.0,5
430,Bobi Klintman,DET,F,3500,6.07,7.6,4.6,2.17,2.1,2.1,0.5,0.4,0.3,0.0,0.6,8
431,AJ Johnson,DAL,F,3500,6.04,7.5,4.5,2.14,2.7,1.2,0.9,0.3,0.3,0.0,0.7,26
432,Xavier Tillman,CHA,F,3500,5.96,7.5,4.5,2.14,2.2,1.8,0.4,0.2,0.4,0.1,0.4,14
